2026-03-28T17:13:06.818575549Z [inf]  Starting Container
2026-03-28T17:13:07.589210721Z [inf]  
2026-03-28T17:13:07.589214291Z [inf]  > astropost@0.1.0 worker /app
2026-03-28T17:13:07.589217871Z [inf]  > node --require dotenv/config --import tsx scripts/worker.ts
2026-03-28T17:13:07.589221280Z [inf]  
2026-03-28T17:13:08.162526830Z [inf]  worker_started
2026-03-28T17:13:08.162533890Z [inf]  
2026-03-28T17:13:08.162537990Z [inf]  ✅ [Worker] Started successfully (PID: 15).
2026-03-28T17:13:08.162542460Z [inf]  ⏳ Waiting for jobs in 'schedule-queue' and 'analytics-queue'...
2026-03-28T17:13:08.162545450Z [inf]  Press Ctrl+C to exit.
2026-03-28T17:13:08.162549010Z [inf]  
2026-03-28T17:14:48.171744162Z [inf]  schedule_job_started
2026-03-28T17:14:48.171750102Z [inf]  x_tweet_posted
2026-03-28T17:14:48.171754022Z [inf]  schedule_job_completed
2026-03-28T17:14:48.171758901Z [inf]  job_completed
2026-03-28T17:15:28.175320979Z [inf]  schedule_job_started
2026-03-28T17:15:28.175333769Z [err]  x_tweet_post_failed
2026-03-28T17:15:28.175340079Z [err]  schedule_job_failed
2026-03-28T17:15:28.175345439Z [err]  job_failed
2026-03-28T17:16:08.178090997Z [inf]  schedule_job_started
2026-03-28T17:16:08.178097467Z [err]  x_tweet_post_failed
2026-03-28T17:16:08.178101617Z [err]  schedule_job_failed
2026-03-28T17:16:08.178105956Z [err]  job_failed
2026-03-28T17:17:08.183605851Z [inf]  schedule_job_started
2026-03-28T17:17:08.183611831Z [inf]  x_tweet_posted
2026-03-28T17:17:08.183616031Z [inf]  x_tweet_reply_posted
2026-03-28T17:17:08.183620361Z [inf]  x_tweet_reply_posted
2026-03-28T17:17:08.906268964Z [inf]  schedule_job_completed
2026-03-28T17:17:08.906303774Z [inf]  job_completed
2026-03-28T17:18:08.673282406Z [inf]  schedule_job_started
2026-03-28T17:18:09.407401632Z [err]  x_tweet_post_failed
2026-03-28T17:18:09.407409032Z [err]  schedule_job_failed
